visitc,0,2,4,12,16,24,28,36,40,48,52,60,72,84,96,108
0,0.443,0.422,0.405,0.366,0.342,0.346,0.338,0.335,0.333,0.334,0.339,0.316,0.28,0.253,0.219,0.21
2,0.422,0.414,0.398,0.359,0.335,0.34,0.332,0.328,0.327,0.328,0.333,0.311,0.275,0.248,0.215,0.206
4,0.405,0.398,0.394,0.355,0.332,0.336,0.328,0.325,0.324,0.325,0.329,0.308,0.272,0.245,0.212,0.204
12,0.366,0.359,0.355,0.361,0.337,0.342,0.334,0.33,0.329,0.33,0.335,0.313,0.277,0.249,0.216,0.207
16,0.342,0.335,0.332,0.337,0.335,0.339,0.331,0.328,0.327,0.328,0.332,0.31,0.275,0.248,0.214,0.206
24,0.346,0.34,0.336,0.342,0.339,0.387,0.378,0.374,0.373,0.374,0.379,0.354,0.314,0.283,0.244,0.235
28,0.338,0.332,0.328,0.334,0.331,0.378,0.392,0.388,0.386,0.388,0.393,0.367,0.325,0.293,0.253,0.243
36,0.335,0.328,0.325,0.33,0.328,0.374,0.388,0.433,0.431,0.433,0.438,0.409,0.363,0.327,0.283,0.271
40,0.333,0.327,0.324,0.329,0.327,0.373,0.386,0.431,0.456,0.457,0.464,0.433,0.383,0.346,0.299,0.287
48,0.334,0.328,0.325,0.33,0.328,0.374,0.388,0.433,0.457,0.517,0.524,0.49,0.434,0.391,0.338,0.325
52,0.339,0.333,0.329,0.335,0.332,0.379,0.393,0.438,0.464,0.524,0.564,0.527,0.467,0.42,0.364,0.349
60,0.316,0.311,0.308,0.313,0.31,0.354,0.367,0.409,0.433,0.49,0.527,0.555,0.491,0.443,0.383,0.368
72,0.28,0.275,0.272,0.277,0.275,0.314,0.325,0.363,0.383,0.434,0.467,0.491,0.52,0.469,0.406,0.39
84,0.253,0.248,0.245,0.249,0.248,0.283,0.293,0.327,0.346,0.391,0.42,0.443,0.469,0.506,0.437,0.42
96,0.219,0.215,0.212,0.216,0.214,0.244,0.253,0.283,0.299,0.338,0.364,0.383,0.406,0.437,0.453,0.435
108,0.21,0.206,0.204,0.207,0.206,0.235,0.243,0.271,0.287,0.325,0.349,0.368,0.39,0.42,0.435,0.5
