visitc,0,2,4,12,16,24,28,36,40,48,52,60,72,84,96,108
0,0.388,0.381,0.375,0.369,0.368,0.351,0.344,0.339,0.333,0.322,0.32,0.295,0.27,0.244,0.224,0.199
2,0.381,0.387,0.38,0.374,0.373,0.356,0.349,0.344,0.337,0.327,0.325,0.299,0.274,0.247,0.227,0.202
4,0.375,0.38,0.386,0.379,0.378,0.361,0.353,0.349,0.342,0.331,0.329,0.303,0.277,0.25,0.23,0.204
12,0.369,0.374,0.379,0.419,0.418,0.399,0.391,0.386,0.378,0.367,0.365,0.336,0.307,0.277,0.255,0.226
16,0.368,0.373,0.378,0.418,0.443,0.423,0.414,0.409,0.401,0.388,0.386,0.356,0.325,0.293,0.27,0.24
24,0.351,0.356,0.361,0.399,0.423,0.455,0.446,0.44,0.431,0.418,0.416,0.383,0.35,0.316,0.29,0.258
28,0.344,0.349,0.353,0.391,0.414,0.446,0.464,0.457,0.449,0.435,0.432,0.398,0.364,0.328,0.302,0.268
36,0.339,0.344,0.349,0.386,0.409,0.44,0.457,0.508,0.499,0.483,0.48,0.442,0.404,0.365,0.336,0.298
40,0.333,0.337,0.342,0.378,0.401,0.431,0.449,0.499,0.519,0.503,0.5,0.461,0.421,0.38,0.349,0.31
48,0.322,0.327,0.331,0.367,0.388,0.418,0.435,0.483,0.503,0.549,0.546,0.503,0.46,0.415,0.382,0.339
52,0.32,0.325,0.329,0.365,0.386,0.416,0.432,0.48,0.5,0.546,0.577,0.531,0.485,0.438,0.403,0.358
60,0.295,0.299,0.303,0.336,0.356,0.383,0.398,0.442,0.461,0.503,0.531,0.551,0.504,0.455,0.418,0.371
72,0.27,0.274,0.277,0.307,0.325,0.35,0.364,0.404,0.421,0.46,0.485,0.504,0.551,0.497,0.457,0.406
84,0.244,0.247,0.25,0.277,0.293,0.316,0.328,0.365,0.38,0.415,0.438,0.455,0.497,0.537,0.494,0.438
96,0.224,0.227,0.23,0.255,0.27,0.29,0.302,0.336,0.349,0.382,0.403,0.418,0.457,0.494,0.543,0.482
108,0.199,0.202,0.204,0.226,0.24,0.258,0.268,0.298,0.31,0.339,0.358,0.371,0.406,0.438,0.482,0.512
