visitc,0,2,4,12,16,24,28,36,40,48,52,60,72,84,96,108
0,0.266,0.248,0.242,0.26,0.256,0.283,0.287,0.297,0.3,0.309,0.312,0.303,0.275,0.253,0.22,0.215
2,0.248,0.252,0.247,0.264,0.26,0.288,0.291,0.303,0.305,0.314,0.317,0.308,0.28,0.257,0.224,0.218
4,0.242,0.247,0.26,0.278,0.274,0.304,0.307,0.319,0.322,0.331,0.335,0.325,0.295,0.271,0.236,0.23
12,0.26,0.264,0.278,0.321,0.317,0.351,0.355,0.368,0.371,0.382,0.386,0.375,0.34,0.313,0.272,0.266
16,0.256,0.26,0.274,0.317,0.331,0.367,0.371,0.385,0.388,0.4,0.404,0.392,0.356,0.328,0.285,0.278
24,0.283,0.288,0.304,0.351,0.367,0.442,0.447,0.464,0.468,0.482,0.486,0.472,0.429,0.394,0.343,0.335
28,0.287,0.291,0.307,0.355,0.371,0.447,0.47,0.488,0.492,0.506,0.511,0.497,0.451,0.415,0.361,0.352
36,0.297,0.303,0.319,0.368,0.385,0.464,0.488,0.543,0.548,0.564,0.57,0.553,0.503,0.462,0.402,0.392
40,0.3,0.305,0.322,0.371,0.388,0.468,0.492,0.548,0.579,0.596,0.602,0.584,0.531,0.488,0.425,0.414
48,0.309,0.314,0.331,0.382,0.4,0.482,0.506,0.564,0.596,0.659,0.665,0.646,0.586,0.539,0.469,0.458
52,0.312,0.317,0.335,0.386,0.404,0.486,0.511,0.57,0.602,0.665,0.719,0.698,0.634,0.583,0.507,0.495
60,0.303,0.308,0.325,0.375,0.392,0.472,0.497,0.553,0.584,0.646,0.698,0.723,0.657,0.604,0.525,0.513
72,0.275,0.28,0.295,0.34,0.356,0.429,0.451,0.503,0.531,0.586,0.634,0.657,0.673,0.619,0.539,0.526
84,0.253,0.257,0.271,0.313,0.328,0.394,0.415,0.462,0.488,0.539,0.583,0.604,0.619,0.644,0.56,0.547
96,0.22,0.224,0.236,0.272,0.285,0.343,0.361,0.402,0.425,0.469,0.507,0.525,0.539,0.56,0.563,0.549
108,0.215,0.218,0.23,0.266,0.278,0.335,0.352,0.392,0.414,0.458,0.495,0.513,0.526,0.547,0.549,0.609
