visitc,0,2,4,12,16,24,28,36,40,48,52,60,72,84,96,108
0,0.277,0.269,0.266,0.287,0.293,0.299,0.297,0.313,0.313,0.318,0.314,0.305,0.292,0.263,0.237,0.207
2,0.269,0.276,0.273,0.294,0.301,0.307,0.305,0.321,0.321,0.326,0.322,0.313,0.3,0.271,0.244,0.213
4,0.266,0.273,0.288,0.31,0.317,0.323,0.322,0.339,0.339,0.344,0.34,0.33,0.316,0.285,0.257,0.225
12,0.287,0.294,0.31,0.365,0.372,0.38,0.378,0.398,0.398,0.404,0.4,0.388,0.371,0.335,0.302,0.264
16,0.293,0.301,0.317,0.372,0.411,0.419,0.417,0.439,0.439,0.446,0.441,0.428,0.41,0.37,0.333,0.291
24,0.299,0.307,0.323,0.38,0.419,0.465,0.463,0.487,0.487,0.495,0.489,0.475,0.455,0.41,0.369,0.323
28,0.297,0.305,0.322,0.378,0.417,0.463,0.497,0.523,0.523,0.531,0.525,0.509,0.488,0.44,0.396,0.347
36,0.313,0.321,0.339,0.398,0.439,0.487,0.523,0.59,0.59,0.599,0.592,0.575,0.55,0.497,0.447,0.391
40,0.313,0.321,0.339,0.398,0.439,0.487,0.523,0.59,0.622,0.632,0.624,0.606,0.58,0.524,0.472,0.413
48,0.318,0.326,0.344,0.404,0.446,0.495,0.531,0.599,0.632,0.683,0.675,0.655,0.628,0.566,0.51,0.446
52,0.314,0.322,0.34,0.4,0.441,0.489,0.525,0.592,0.624,0.675,0.714,0.693,0.664,0.599,0.539,0.472
60,0.305,0.313,0.33,0.388,0.428,0.475,0.509,0.575,0.606,0.655,0.693,0.713,0.683,0.617,0.555,0.486
72,0.292,0.3,0.316,0.371,0.41,0.455,0.488,0.55,0.58,0.628,0.664,0.683,0.707,0.638,0.575,0.503
84,0.263,0.271,0.285,0.335,0.37,0.41,0.44,0.497,0.524,0.566,0.599,0.617,0.638,0.649,0.584,0.511
96,0.237,0.244,0.257,0.302,0.333,0.369,0.396,0.447,0.472,0.51,0.539,0.555,0.575,0.584,0.619,0.541
108,0.207,0.213,0.225,0.264,0.291,0.323,0.347,0.391,0.413,0.446,0.472,0.486,0.503,0.511,0.541,0.566
