"parameter","model-based SE","sandwich SE"
"(Intercept)",0.234086721384169,0.372561513841263
"TGbudesonide",0.272242424108201,0.273976135216558
"TGnedocromil",0.296513023667413,0.298590807536885
"visitc_f2",0.291401213071696,0.183035377026161
"visitc_f4",0.268252643534801,0.188185761046635
"visitc_f12",0.269631444991686,0.206984354311407
"visitc_f16",0.274938970617219,0.211840914671423
"visitc_f24",0.27692767912464,0.217618000159798
"visitc_f28",0.281385653763906,0.239467910866933
"visitc_f36",0.264330800622033,0.208125737056047
"visitc_f40",0.263391352254687,0.209575068925029
"visitc_f48",0.258857025558581,0.200213454862945
"visitc_f52",0.309660270001569,0.290999150168659
"visitc_f60",0.285111513773254,0.240030090176413
"visitc_f72",0.266515452411368,0.221939077536669
"visitc_f84",0.264203639934371,0.223221366141967
"visitc_f96",0.268161760867139,0.222055719511071
"visitc_f108",0.263707234164124,0.232112815786416
"age_rz",0.0139649571753528,0.0345455924471196
"gendermale",0.0612032879682855,0.16420372733697
"ethnicblack",0.0869413009596124,0.245597637261055
"ethnichispanic",0.0972411346595237,0.256599860304672
"ethnicother",0.114427078405483,0.324876632289805
"TGbudesonide:visitc_f2",0.411849421566843,0.262999055719985
"TGnedocromil:visitc_f2",0.422254216092656,0.257022081104902
"TGbudesonide:visitc_f4",0.395770241748721,0.279398993049
"TGnedocromil:visitc_f4",0.404828482500967,0.262551344788998
"TGbudesonide:visitc_f12",0.407934863776581,0.295781640087083
"TGnedocromil:visitc_f12",0.397590032327285,0.291123469440356
"TGbudesonide:visitc_f16",0.418850777003191,0.321408400793424
"TGnedocromil:visitc_f16",0.400316139685678,0.290128641675058
"TGbudesonide:visitc_f24",0.399392696438028,0.305523268625582
"TGnedocromil:visitc_f24",0.416375562056713,0.303184155652678
"TGbudesonide:visitc_f28",0.412891683215698,0.331893315868746
"TGnedocromil:visitc_f28",0.424064908281606,0.325812954011316
"TGbudesonide:visitc_f36",0.404531595029571,0.323519477991502
"TGnedocromil:visitc_f36",0.408289331508683,0.319919772986814
"TGbudesonide:visitc_f40",0.390607371614508,0.288686236284563
"TGnedocromil:visitc_f40",0.404133873588498,0.307298336317741
"TGbudesonide:visitc_f48",0.383456245447325,0.289637962205917
"TGnedocromil:visitc_f48",0.395313547561005,0.292626075825852
"TGbudesonide:visitc_f52",0.459917195377918,0.399022720193989
"TGnedocromil:visitc_f52",0.450430177996744,0.395382668531595
"TGbudesonide:visitc_f60",0.41178463303407,0.322713171780756
"TGnedocromil:visitc_f60",0.441176564429536,0.345856663153319
"TGbudesonide:visitc_f72",0.393337815211188,0.330021734474521
"TGnedocromil:visitc_f72",0.427189586960123,0.362781970968879
"TGbudesonide:visitc_f84",0.388195811487995,0.320777360762276
"TGnedocromil:visitc_f84",0.425914476098929,0.346864038207549
"TGbudesonide:visitc_f96",0.38449523056442,0.326691083761491
"TGnedocromil:visitc_f96",0.410028299229547,0.337720461185587
"TGbudesonide:visitc_f108",0.389810218265373,0.339429809736208
"TGnedocromil:visitc_f108",0.417855255514302,0.35999119757718
