"parameter","independence","ar1"
"(Intercept)",-2.06201726385889,-1.96882308796391
"TGnedocromil",-0.433664017574745,-0.425973104363813
"TGplacebo",-0.498835720558227,-0.479381531369308
"visitc_f2",-0.396550799782779,-0.416660585437813
"visitc_f4",-0.405517126434795,-0.42945139970182
"visitc_f12",-0.616279411545969,-0.643171818953872
"visitc_f16",-0.743356484710522,-0.764453924311137
"visitc_f24",-0.367660141723829,-0.396000286258386
"visitc_f28",-0.534883344177617,-0.492074231554124
"visitc_f36",-0.610348248578103,-0.630643426794354
"visitc_f40",-0.309734821551865,-0.310237861764448
"visitc_f48",-0.226548061425986,-0.170172317177386
"visitc_f52",-0.511609641157708,-0.416733066724474
"visitc_f60",0.0722347886698837,0.0501628108617744
"visitc_f72",-0.236969857379435,-0.237335069076219
"visitc_f84",-0.0993599794462983,-0.0740536087204743
"visitc_f96",0.0805594872930438,0.157761669610386
"visitc_f108",0.121787822627333,0.176438842875415
"age_rz",0.0578698183051275,0.053771438590697
"gendermale",-0.226808125246491,-0.287856260726388
"ethnicblack",0.23767551590759,-0.00812898829629288
"ethnichispanic",0.298031820556768,0.351670985402772
"ethnicother",-0.112261722292545,-0.231396202531448
"TGnedocromil:visitc_f2",0.562514073618042,0.556863988075171
"TGplacebo:visitc_f2",0.255496331351715,0.278058324282203
"TGnedocromil:visitc_f4",0.60304608145035,0.630420019135053
"TGplacebo:visitc_f4",0.674622499703825,0.736854823729882
"TGnedocromil:visitc_f12",1.04918807304086,1.06077444802638
"TGplacebo:visitc_f12",0.837259608486651,0.882944390609876
"TGnedocromil:visitc_f16",1.23537502072283,1.25923794190203
"TGplacebo:visitc_f16",0.882057665350316,0.954013774005837
"TGnedocromil:visitc_f24",0.477444052072912,0.435496223904348
"TGplacebo:visitc_f24",0.474299259221391,0.534626116593526
"TGnedocromil:visitc_f28",0.585522555712583,0.436735898794401
"TGplacebo:visitc_f28",0.598012004928813,0.555039511507173
"TGnedocromil:visitc_f36",0.73963492049172,0.73139126223233
"TGplacebo:visitc_f36",0.998598800602221,1.00578028094561
"TGnedocromil:visitc_f40",0.573352930634564,0.566189596555848
"TGplacebo:visitc_f40",0.763998669999452,0.743515697335993
"TGnedocromil:visitc_f48",0.714838412086524,0.606496853839096
"TGplacebo:visitc_f48",0.784214305705799,0.724666811656909
"TGnedocromil:visitc_f52",1.02700904357114,0.906124146562443
"TGplacebo:visitc_f52",0.657702644361791,0.653487821096947
"TGnedocromil:visitc_f60",0.12414785373753,0.177390498718227
"TGplacebo:visitc_f60",0.377514200136263,0.359882553810029
"TGnedocromil:visitc_f72",0.211719494054111,0.210127589225151
"TGplacebo:visitc_f72",0.703013024208366,0.71954349244247
"TGnedocromil:visitc_f84",0.0946888330231726,0.0703540972968178
"TGplacebo:visitc_f84",0.649225140034891,0.627103353535682
"TGnedocromil:visitc_f96",0.273545437654149,0.1908679921906
"TGplacebo:visitc_f96",0.384667947146729,0.254164765451213
"TGnedocromil:visitc_f108",0.200532300194259,0.118819097424578
"TGplacebo:visitc_f108",0.652629436652699,0.590637956619333
