"TG","visitc","observed_n","obstruction_n","obstruction_prob","logit_obstruction_prob"
"budesonide",0,210,34,0.161904761904762,-1.64412347042199
"budesonide",2,200,23,0.115,-2.04065551664468
"budesonide",4,201,23,0.114427860696517,-2.04628933436294
"budesonide",12,201,19,0.0945273631840796,-2.25956770791035
"budesonide",16,201,17,0.0845771144278607,-2.38172241355277
"budesonide",24,203,24,0.118226600985222,-2.00933197549281
"budesonide",28,195,20,0.102564102564103,-2.16905370036952
"budesonide",36,199,19,0.0954773869346734,-2.24851787172377
"budesonide",40,192,24,0.125,-1.94591014905531
"budesonide",44,3,1,0.333333333333333,-0.693147180559945
"budesonide",48,193,26,0.134715025906736,-1.85989727439527
"budesonide",52,132,14,0.106060606060606,-2.13162729485041
"budesonide",56,41,8,0.195121951219512,-1.41706601978664
"budesonide",60,133,23,0.172932330827068,-1.56498614986327
"budesonide",64,9,1,0.111111111111111,-2.07944154167984
"budesonide",72,180,24,0.133333333333333,-1.87180217690159
"budesonide",84,173,26,0.15028901734104,-1.73233604875725
"budesonide",96,173,30,0.173410404624277,-1.56164724859775
"budesonide",108,146,26,0.178082191780822,-1.52939520476056
"budesonide",120,24,4,0.166666666666667,-1.6094379124341
"nedocromil",0,210,23,0.10952380952381,-2.09561440092544
"nedocromil",2,205,26,0.126829268292683,-1.92928926781927
"nedocromil",4,207,27,0.130434782608696,-1.89711998488588
"nedocromil",12,207,33,0.159420289855072,-1.66254773774805
"nedocromil",16,203,34,0.167487684729064,-1.60353819030691
"nedocromil",24,200,24,0.12,-1.99243016469021
"nedocromil",28,193,22,0.113989637305699,-2.05062110314434
"nedocromil",36,196,24,0.122448979591837,-1.96944064646551
"nedocromil",40,189,26,0.137566137566138,-1.83565366278528
"nedocromil",44,6,1,0.166666666666667,-1.6094379124341
"nedocromil",48,182,30,0.164835164835165,-1.62268313918412
"nedocromil",52,123,21,0.170731707317073,-1.58045037556085
"nedocromil",56,39,6,0.153846153846154,-1.70474809223843
"nedocromil",60,138,18,0.130434782608696,-1.89711998488588
"nedocromil",64,2,1,0.5,0
"nedocromil",72,171,18,0.105263157894737,-2.14006616349627
"nedocromil",84,168,18,0.107142857142857,-2.12026353620009
"nedocromil",96,171,25,0.146198830409357,-1.76473079684014
"nedocromil",108,146,21,0.143835616438356,-1.78379129957888
"nedocromil",120,19,3,0.157894736842105,-1.67397643357167
"placebo",0,274,29,0.105839416058394,-2.13396238055825
"placebo",2,258,24,0.0930232558139535,-2.27726728500976
"placebo",4,261,35,0.134099616858238,-1.86518693778287
"placebo",12,265,34,0.128301886792453,-1.91605718590563
"placebo",16,260,31,0.119230769230769,-1.99973479906909
"placebo",24,258,30,0.116279069767442,-2.02814824729229
"placebo",28,251,28,0.111553784860558,-2.07496726128492
"placebo",36,256,38,0.1484375,-1.7469089030627
"placebo",40,249,39,0.156626506024096,-1.68354588458782
"placebo",44,1,0,0,-10
"placebo",48,252,43,0.170634920634921,-1.58113413627125
"placebo",52,167,20,0.119760479041916,-1.99470031322475
"placebo",56,59,7,0.11864406779661,-2.00533356952611
"placebo",60,181,28,0.154696132596685,-1.69823341121723
"placebo",64,8,3,0.375,-0.510825623765991
"placebo",72,236,37,0.156779661016949,-1.68238691208027
"placebo",84,232,39,0.168103448275862,-1.59912854277524
"placebo",96,230,36,0.156521739130435,-1.68433922060722
"placebo",108,204,41,0.200980392156863,-1.38017813410245
"placebo",120,30,6,0.2,-1.38629436111989
