"visitc","total_n","missing_n","missing_pct"
0,695,1,0.143884892086331
2,695,32,4.60431654676259
4,695,26,3.7410071942446
12,695,22,3.16546762589928
16,695,31,4.46043165467626
24,695,34,4.89208633093525
28,695,56,8.05755395683453
36,695,44,6.33093525179856
40,695,65,9.35251798561151
44,695,685,98.5611510791367
48,695,68,9.7841726618705
52,695,273,39.2805755395683
56,695,556,80
60,695,243,34.9640287769784
64,695,676,97.2661870503597
72,695,108,15.5395683453237
84,695,122,17.5539568345324
96,695,121,17.410071942446
108,695,199,28.6330935251799
120,695,622,89.4964028776978
