"parameter","GEE_estimate","GLMM_estimate"
"(Intercept)",-2.06201726385889,-2.9293985686829
"TGnedocromil",-0.433664017574745,-0.907074022055053
"TGplacebo",-0.498835720558227,-0.948740048032631
"visitc_f2",-0.396550799782779,-0.896226529098088
"visitc_f4",-0.405517126434795,-0.943582308385807
"visitc_f12",-0.616279411545969,-1.31791807413407
"visitc_f16",-0.743356484710522,-1.59414012502117
"visitc_f24",-0.367660141723829,-0.830407635639028
"visitc_f28",-0.534883344177617,-1.03525247069564
"visitc_f36",-0.610348248578103,-1.22403748422318
"visitc_f40",-0.309734821551865,-0.654947328861155
"visitc_f48",-0.226548061425986,-0.46629575883323
"visitc_f52",-0.511609641157708,-1.01899505637629
"visitc_f60",0.0722347886698837,-0.0153114097963897
"visitc_f72",-0.236969857379435,-0.594496232001174
"visitc_f84",-0.0993599794462983,-0.367887577636206
"visitc_f96",0.0805594872930438,0.0986800841168214
"visitc_f108",0.121787822627333,0.178273466638562
"age_rz",0.0578698183051275,0.037608880777999
"gendermale",-0.226808125246491,-0.356983446433255
"ethnicblack",0.23767551590759,0.233974204302978
"ethnichispanic",0.298031820556768,0.43737590248721
"ethnicother",-0.112261722292545,-0.241722861375821
"TGnedocromil:visitc_f2",0.562514073618042,1.23800875902751
"TGplacebo:visitc_f2",0.255496331351715,0.584070188991981
"TGnedocromil:visitc_f4",0.60304608145035,1.38192720216664
"TGplacebo:visitc_f4",0.674622499703825,1.50862149377218
"TGnedocromil:visitc_f12",1.04918807304086,2.21419137711509
"TGplacebo:visitc_f12",0.837259608486651,1.79700488608484
"TGnedocromil:visitc_f16",1.23537502072283,2.63713400197213
"TGplacebo:visitc_f16",0.882057665350316,1.95570305226798
"TGnedocromil:visitc_f24",0.477444052072912,1.04599326717773
"TGplacebo:visitc_f24",0.474299259221391,1.14784913934723
"TGnedocromil:visitc_f28",0.585522555712583,1.08825390484482
"TGplacebo:visitc_f28",0.598012004928813,1.21068481465224
"TGnedocromil:visitc_f36",0.73963492049172,1.51528534584365
"TGplacebo:visitc_f36",0.998598800602221,1.97585581946491
"TGnedocromil:visitc_f40",0.573352930634564,1.19334215454829
"TGplacebo:visitc_f40",0.763998669999452,1.50456001867015
"TGnedocromil:visitc_f48",0.714838412086524,1.32405418124454
"TGplacebo:visitc_f48",0.784214305705799,1.50904570883382
"TGnedocromil:visitc_f52",1.02700904357114,1.96857136875205
"TGplacebo:visitc_f52",0.657702644361791,1.58816058360907
"TGnedocromil:visitc_f60",0.12414785373753,0.384753310002902
"TGplacebo:visitc_f60",0.377514200136263,0.686441084484346
"TGnedocromil:visitc_f72",0.211719494054111,0.472235078906173
"TGplacebo:visitc_f72",0.703013024208366,1.34112773836904
"TGnedocromil:visitc_f84",0.0946888330231726,0.185706573468338
"TGplacebo:visitc_f84",0.649225140034891,1.17590351109021
"TGnedocromil:visitc_f96",0.273545437654149,0.44938176116229
"TGplacebo:visitc_f96",0.384667947146729,0.359324332745922
"TGnedocromil:visitc_f108",0.200532300194259,0.00446527295930327
"TGplacebo:visitc_f108",0.652629436652699,1.00597675080079
