"parameter","estimate","std_error","statistic","p_value"
"(Intercept)",-2.9293985686829,0.757904533706929,-3.86512870473955,"<0.001"
"TGnedocromil",-0.907074022055053,0.579238545935015,-1.565976622966,"0.117354090024615"
"TGplacebo",-0.948740048032631,0.543069023170029,-1.74699717265146,"0.0806378285491202"
"visitc_f2",-0.896226529098088,0.433434637644067,-2.06773167453696,"0.0386652617025825"
"visitc_f4",-0.943582308385807,0.435595237521757,-2.16619059876355,"0.0302966252395101"
"visitc_f12",-1.31791807413407,0.450858430931399,-2.92313059647453,"0.00346531138628378"
"visitc_f16",-1.59414012502117,0.460250496878142,-3.46363585880764,"<0.001"
"visitc_f24",-0.830407635639028,0.429710600112812,-1.93248115224763,"0.0533001461752956"
"visitc_f28",-1.03525247069564,0.447764523433099,-2.31204665961062,"0.0207751121416115"
"visitc_f36",-1.22403748422318,0.454136838907035,-2.69530542197162,"0.00703241375743383"
"visitc_f40",-0.654947328861155,0.444819931067406,-1.47238755082201,"0.140916253008622"
"visitc_f48",-0.46629575883323,0.441263127782163,-1.05672948740785,"0.290635063302923"
"visitc_f52",-1.01899505637629,0.513395101201369,-1.98481647758577,"0.0471648935463011"
"visitc_f60",-0.0153114097963897,0.472618130854883,-0.032397000446627,"0.97415545453085"
"visitc_f72",-0.594496232001174,0.475157110251729,-1.2511571839601,"0.21087713582268"
"visitc_f84",-0.367887577636206,0.491502652092382,-0.748495610491759,"0.454161271738845"
"visitc_f96",0.0986800841168214,0.505071731789885,0.19537835500537,"0.845096760282167"
"visitc_f108",0.178273466638562,0.554754588031286,0.321355551598445,"0.747940962836959"
"age_rz",0.037608880777999,0.0707633559516308,0.531473956714347,"0.595090383795403"
"gendermale",-0.356983446433255,0.310115653610647,-1.1511300454425,"0.249678738986821"
"ethnicblack",0.233974204302978,0.4565041736517,0.512534644385296,"0.608276880229274"
"ethnichispanic",0.43737590248721,0.506318439761223,0.863835618338281,"0.387678198240347"
"ethnicother",-0.241722861375821,0.568767271037016,-0.424994323135182,"0.670840813087474"
"TGnedocromil:visitc_f2",1.23800875902751,0.613319505536255,2.01853805048162,"0.0435352554762667"
"TGplacebo:visitc_f2",0.584070188991981,0.593313393565519,0.984421041773573,"0.324908536346684"
"TGnedocromil:visitc_f4",1.38192720216664,0.612662598448912,2.25560888760842,"0.0240951361225137"
"TGplacebo:visitc_f4",1.50862149377218,0.573711400357921,2.62958256159978,"0.00854897705070928"
"TGnedocromil:visitc_f12",2.21419137711509,0.615046556796145,3.60003865178774,"<0.001"
"TGplacebo:visitc_f12",1.79700488608484,0.587665867287136,3.05786840127439,"0.00222917447567495"
"TGnedocromil:visitc_f16",2.63713400197213,0.621551754136643,4.24282287745323,"<0.001"
"TGplacebo:visitc_f16",1.95570305226798,0.599085275265503,3.26448192438255,"0.0010966446011109"
"TGnedocromil:visitc_f24",1.04599326717773,0.615967920502007,1.69812945181505,"0.0894833319910444"
"TGplacebo:visitc_f24",1.14784913934723,0.579055126958117,1.98227955493131,"0.0474479609769206"
"TGnedocromil:visitc_f28",1.08825390484482,0.635342995369661,1.71286047501262,"0.0867382112447634"
"TGplacebo:visitc_f28",1.21068481465224,0.597023621228686,2.02786752752032,"0.042573770111479"
"TGnedocromil:visitc_f36",1.51528534584365,0.638508358553456,2.37316446299393,"0.0176364090453475"
"TGplacebo:visitc_f36",1.97585581946491,0.593100944672888,3.33139887435967,"<0.001"
"TGnedocromil:visitc_f40",1.19334215454829,0.631930714297175,1.88840663628055,"0.0589713811228909"
"TGplacebo:visitc_f40",1.50456001867015,0.588285851923346,2.55753221627059,"0.0105417792825651"
"TGnedocromil:visitc_f48",1.32405418124454,0.629000277688139,2.10501366726107,"0.0352901183812779"
"TGplacebo:visitc_f48",1.50904570883382,0.586772059370555,2.57177499292078,"0.0101178626186028"
"TGnedocromil:visitc_f52",1.96857136875205,0.708579573678299,2.77819378638453,"0.00546620075796909"
"TGplacebo:visitc_f52",1.58816058360907,0.681822567366616,2.32928720699724,"0.019843855644354"
"TGnedocromil:visitc_f60",0.384753310002902,0.696995997088188,0.552016527512741,"0.580937029789492"
"TGplacebo:visitc_f60",0.686441084484346,0.645537497680386,1.06336361086837,"0.287617088287944"
"TGnedocromil:visitc_f72",0.472235078906173,0.707949759209785,0.667046033652562,"0.504742729692889"
"TGplacebo:visitc_f72",1.34112773836904,0.637332824697431,2.10428160358088,"0.035353889818284"
"TGnedocromil:visitc_f84",0.185706573468338,0.736811167712889,0.252040932067824,"0.801009425599812"
"TGplacebo:visitc_f84",1.17590351109021,0.660512844093705,1.78028863723865,"0.0750287357435974"
"TGnedocromil:visitc_f96",0.44938176116229,0.740083663482291,0.607204000488038,"0.543715537694426"
"TGplacebo:visitc_f96",0.359324332745922,0.686536299264192,0.523387231135534,"0.60070480815588"
"TGnedocromil:visitc_f108",0.00446527295930327,0.814153991635146,0.00548455575380183,"0.995623979579896"
"TGplacebo:visitc_f108",1.00597675080079,0.736841551923501,1.36525518705442,"0.172172858417068"
